"bbref_id","season","Name","Age","Level","Team","G","PA","AB","R","H","X1B","X2B","X3B","HR","RBI","BB","IBB","uBB","SO","HBP","SH","SF","GDP","SB","CS","BA","OBP","SLG","OPS"
"lindofr01",2017,"Francisco Lindor",25,"Maj-AL","Cleveland",460,2122,1910,329,531,294,126,8,103,255,176,22,154,298,15,9,12,29,62,18,0.278,0.342,0.514,0.856
"merriwh01",2017,"Whit Merrifield",30,"Maj-AL","Kansas City",465,2072,1900,273,567,385,116,19,47,212,135,7,128,328,17,3,17,33,99,25,0.298,0.348,0.454,0.801
"machama01",2017,"Manny Machado",26,"Maj-AL,Maj-NL","Baltimore,Los Angeles,San Diego",474,2060,1849,246,501,304,89,6,102,287,185,24,161,347,9,0,17,67,28,9,0.271,0.337,0.491,0.829
"blackch02",2017,"Charlie Blackmon",32,"Maj-NL","Colorado",455,2054,1849,367,577,343,108,28,98,260,164,12,152,372,27,4,10,25,28,18,0.312,0.375,0.56,0.934
"goldspa01",2017,"Paul Goldschmidt",31,"Maj-NL","Arizona,St. Louis",473,2037,1748,309,493,287,94,9,103,300,262,28,234,486,16,0,7,32,28,8,0.282,0.379,0.523,0.902
"bettsmo01",2017,"Mookie Betts",26,"Maj-AL","Boston",439,2032,1745,365,522,292,133,12,85,262,255,23,232,271,13,0,19,25,72,10,0.299,0.389,0.535,0.924
"santaca01",2017,"Carlos Santana",33,"Maj-AL,Maj-NL","Cleveland,Philadelphia",473,2032,1704,282,437,255,95,6,81,258,306,24,282,295,10,0,12,36,11,1,0.257,0.371,0.462,0.833
"bregmal01",2017,"Alex Bregman",25,"Maj-AL","Houston",467,2021,1704,315,492,266,127,8,91,286,270,6,264,265,28,1,18,38,32,7,0.289,0.391,0.533,0.924
"arenano01",2017,"Nolan Arenado",28,"Maj-NL","Colorado",470,2015,1784,306,547,308,112,11,116,358,197,30,167,321,11,2,20,51,8,6,0.307,0.375,0.577,0.952
"hosmeer01",2017,"Eric Hosmer",29,"Maj-AL,Maj-NL","Kansas City,San Diego",479,2015,1835,242,511,350,91,5,65,262,168,16,152,409,4,0,8,50,13,7,0.279,0.339,0.44,0.779
"casteni01",2017,"Nick Castellanos",27,"Maj-AL,Maj-NL","Chicago,Detroit",465,2007,1849,261,530,296,140,18,76,263,131,6,125,436,16,0,11,32,8,6,0.287,0.337,0.505,0.842
"rizzoan01",2017,"Anthony Rizzo",29,"Maj-NL","Chicago",456,1969,1650,262,466,285,90,7,84,304,232,29,203,256,71,0,16,47,21,10,0.282,0.391,0.498,0.889
"choosh01",2017,"Shin-Soo Choo",36,"Maj-AL","Texas",445,1961,1667,272,439,287,81,4,67,201,247,6,241,455,35,4,8,35,33,4,0.263,0.368,0.437,0.806
"hernace02",2017,"Cesar Hernandez",29,"Maj-NL","Philadelphia",450,1952,1728,253,474,352,72,12,38,165,201,9,192,359,14,1,8,29,43,11,0.274,0.353,0.396,0.749
"vottojo01",2017,"Joey Votto",35,"Maj-NL","Cincinnati",449,1938,1587,252,459,298,94,4,63,214,318,28,290,307,21,0,12,45,12,1,0.289,0.412,0.473,0.884
"beninan01",2017,"Andrew Benintendi",24,"Maj-AL","Boston",437,1934,1693,259,467,299,107,12,49,245,200,9,191,358,15,6,20,31,51,7,0.276,0.354,0.44,0.794
"yelicch01",2017,"Christian Yelich",27,"Maj-NL","Miami,Milwaukee",432,1925,1664,318,518,309,99,12,98,288,228,22,206,389,21,0,11,35,68,8,0.311,0.399,0.562,0.961
"abreujo02",2017,"Jose Abreu",32,"Maj-AL","Chicago",443,1921,1754,248,501,288,117,8,88,303,108,17,91,380,39,0,20,59,7,2,0.286,0.337,0.512,0.849
"lemahdj01",2017,"DJ LeMahieu",30,"Maj-AL,Maj-NL","Colorado,New York",428,1918,1744,294,533,383,93,8,49,228,142,1,141,262,10,6,16,52,17,9,0.306,0.358,0.452,0.811
"freemfr01",2017,"Freddie Freeman",29,"Maj-NL","Atlanta",437,1913,1655,291,502,292,113,8,89,290,228,37,191,354,20,0,10,37,24,8,0.303,0.392,0.543,0.935
"bogaexa01",2017,"Xander Bogaerts",26,"Maj-AL","Boston",437,1912,1697,276,494,290,129,9,66,282,187,12,175,339,14,0,14,42,27,5,0.291,0.364,0.494,0.858
"galvifr01",2017,"Freddy Galvis",29,"Maj-AL,Maj-NL","Cincinnati,Philadelphia,San Diego,Toronto",471,1907,1766,200,449,301,88,12,48,198,118,5,113,402,7,4,12,34,26,11,0.254,0.302,0.399,0.701
"mancitr01",2017,"Trey Mancini",27,"Maj-AL","Baltimore",457,1901,1727,240,475,296,87,9,83,233,140,5,135,435,20,0,14,51,2,1,0.275,0.334,0.48,0.814
"suareeu01",2017,"Eugenio Suarez",27,"Maj-NL","Cincinnati",457,1900,1636,253,444,260,69,6,109,289,218,12,206,478,29,0,17,48,8,5,0.271,0.364,0.521,0.885
"cainlo01",2017,"Lorenzo Cain",33,"Maj-AL,Maj-NL","Kansas City,Milwaukee",444,1889,1686,251,487,362,82,7,36,135,175,2,173,300,19,0,8,44,74,15,0.289,0.361,0.41,0.771
"ramirjo01",2017,"Jose Ramirez",26,"Maj-AL","Cleveland",438,1885,1645,285,465,234,127,13,91,271,210,23,187,223,13,0,17,23,75,15,0.283,0.365,0.542,0.907
"harpebr03",2017,"Bryce Harper",26,"Maj-NL","Philadelphia,Washington",427,1869,1543,296,420,223,97,2,98,301,297,38,259,446,13,0,16,32,32,7,0.272,0.391,0.528,0.919
"storytr01",2017,"Trevor Story",26,"Maj-NL","Colorado",447,1867,1689,267,467,245,112,14,96,275,154,7,147,533,16,0,8,27,57,15,0.277,0.341,0.53,0.871
"ozunama01",2017,"Marcell Ozuna",28,"Maj-NL","Miami,St. Louis",437,1856,1680,242,471,308,69,5,89,301,164,8,156,368,4,0,7,49,16,2,0.28,0.345,0.486,0.831
"rendoan01",2017,"Anthony Rendon",29,"Maj-NL","Washington",428,1848,1582,286,490,272,129,6,83,318,219,19,200,250,24,0,23,24,14,4,0.31,0.397,0.556,0.953
"markani01",2017,"Nick Markakis",35,"Maj-NL","Atlanta",438,1844,1630,215,466,323,107,5,31,231,187,19,168,249,9,0,18,45,3,1,0.286,0.359,0.415,0.774
"bellico01",2017,"Cody Bellinger",23,"Maj-NL","Los Angeles",450,1841,1596,292,443,230,88,14,111,288,228,43,185,405,7,0,10,22,39,8,0.278,0.368,0.559,0.927
"gardnbr01",2017,"Brett Gardner",35,"Maj-AL","New York",432,1841,1615,277,405,254,72,18,61,182,189,2,187,337,17,9,11,16,49,9,0.251,0.334,0.431,0.765
"daviskh01",2017,"Khris Davis",31,"Maj-AL","Oakland",437,1839,1623,250,388,205,67,2,114,306,179,9,170,516,21,0,16,47,4,0,0.239,0.32,0.494,0.813
"calhoko01",2017,"Kole Calhoun",31,"Maj-AL","Los Angeles",444,1838,1612,240,369,223,70,5,71,202,194,13,181,429,16,0,14,33,15,1,0.229,0.315,0.411,0.726
"semiema01",2017,"Marcus Semien",28,"Maj-AL","Oakland",406,1836,1631,265,433,268,97,10,58,202,186,3,183,318,5,3,11,26,36,10,0.266,0.34,0.444,0.784
"escobed01",2017,"Eduardo Escobar",30,"Maj-AL,Maj-NL","Arizona,Minnesota",437,1829,1659,231,441,251,93,18,79,275,135,14,121,354,13,1,21,25,12,5,0.266,0.322,0.486,0.809
"doziebr01",2017,"Brian Dozier",32,"Maj-AL,Maj-NL","Los Angeles,Minnesota,Washington",438,1819,1586,241,385,224,80,6,75,215,209,9,200,375,16,0,8,34,31,12,0.243,0.335,0.443,0.778
"pillake01",2017,"Kevin Pillar",30,"Maj-AL,Maj-NL","San Francisco,Toronto",454,1819,1710,220,437,265,114,6,52,189,69,4,65,282,21,3,16,36,43,13,0.256,0.29,0.421,0.711
"moustmi01",2017,"Mike Moustakas",30,"Maj-AL,Maj-NL","Kansas City,Milwaukee",443,1817,1651,221,428,238,87,2,101,267,136,17,119,295,16,0,14,43,7,0,0.259,0.319,0.498,0.817
"belljo02",2017,"Josh Bell",26,"Maj-NL","Pittsburgh",450,1816,1577,243,417,235,94,13,75,268,217,19,198,339,6,0,16,38,4,4,0.264,0.352,0.483,0.836
"segurje01",2017,"Jean Segura",29,"Maj-AL,Maj-NL","Philadelphia,Seattle",413,1816,1686,250,496,358,96,9,33,168,96,6,90,225,18,5,10,42,52,19,0.294,0.337,0.421,0.758
"altuvjo01",2017,"Jose Altuve",29,"Maj-AL","Houston",414,1809,1624,285,522,350,95,9,68,216,154,7,147,245,18,5,8,55,55,12,0.321,0.385,0.517,0.901
"springe01",2017,"George Springer",29,"Maj-AL","Houston",402,1805,1571,310,439,266,75,3,95,252,195,2,193,346,22,0,11,35,17,9,0.279,0.365,0.512,0.877
"castrst01",2017,"Starlin Castro",29,"Maj-AL,Maj-NL","Miami,New York",427,1796,1672,210,470,332,81,7,50,203,99,6,93,328,7,0,18,50,10,5,0.281,0.321,0.428,0.748
"martijd02",2017,"J.D. Martinez",31,"Maj-AL,Maj-NL","Arizona,Boston,Detroit",415,1795,1576,294,494,267,96,7,124,339,194,28,166,412,8,0,16,60,12,1,0.314,0.388,0.619,1.007
"carpema01",2017,"Matt Carpenter",33,"Maj-NL","St. Louis",429,1790,1476,261,359,188,93,4,74,196,274,21,253,411,22,3,14,8,12,1,0.243,0.367,0.462,0.829
"jonesad01",2017,"Adam Jones",33,"Maj-AL,Maj-NL","Arizona,Baltimore",429,1777,1663,202,459,312,88,2,57,203,82,4,78,308,20,1,10,54,11,2,0.276,0.316,0.434,0.75
"keplema01",2017,"Max Kepler",26,"Maj-AL","Minnesota",435,1775,1567,245,375,200,94,6,75,217,178,4,174,309,19,1,10,18,11,11,0.239,0.322,0.451,0.773
"rosared01",2017,"Eddie Rosario",27,"Maj-AL","Minnesota",419,1771,1663,257,473,293,92,5,83,264,87,8,79,296,0,5,16,24,20,9,0.284,0.317,0.496,0.813
"odorro01",2017,"Rougned Odor",25,"Maj-AL","Texas",436,1767,1603,232,351,193,74,6,78,231,127,9,118,467,24,3,10,22,38,26,0.219,0.285,0.419,0.703
"andruel01",2017,"Elvis Andrus",30,"Maj-AL","Texas",402,1765,1638,234,457,317,91,11,38,193,100,1,99,263,10,1,16,42,61,16,0.279,0.321,0.418,0.739
"cruzne02",2017,"Nelson Cruz",38,"Maj-AL","Minnesota,Seattle",419,1756,1528,242,434,244,72,1,117,324,181,20,161,392,33,0,13,44,2,2,0.284,0.369,0.562,0.931
"bryankr01",2017,"Kris Bryant",27,"Maj-NL","Chicago",400,1756,1481,278,421,239,101,8,73,202,217,12,205,380,47,0,11,23,13,7,0.284,0.39,0.511,0.901
"turnetr01",2017,"Trea Turner",26,"Maj-NL","Washington",382,1755,1596,274,452,298,88,17,49,175,142,5,137,324,12,2,3,21,124,22,0.283,0.346,0.452,0.798
"phamth01",2017,"Tommy Pham",31,"Maj-AL,Maj-NL","St. Louis,Tampa Bay",410,1754,1505,274,427,279,73,10,65,204,219,6,213,380,21,2,7,58,65,15,0.284,0.381,0.475,0.856
"sanchca01",2017,"Yolmer Sanchez",27,"Maj-AL","Chicago",445,1751,1580,184,399,282,73,22,22,157,128,3,125,366,17,16,10,26,27,13,0.253,0.314,0.368,0.682
