"bbref_id","season","Name","Age","Level","Team","G","PA","AB","R","H","X1B","X2B","X3B","HR","RBI","BB","IBB","uBB","SO","HBP","SH","SF","GDP","SB","CS","BA","OBP","SLG","OPS"
"gourryu01",2017,"Yuli Gurriel",35,"Maj-AL","Houston",419,1749,1630,224,482,300,116,4,62,264,82,3,79,190,18,0,19,46,13,6,0.296,0.333,0.486,0.819
"gordoal01",2017,"Alex Gordon",35,"Maj-AL","Kansas City",437,1742,1538,185,371,258,75,3,35,175,146,11,135,350,43,3,12,27,24,5,0.241,0.322,0.362,0.684
"encared01",2017,"Edwin Encarnacion",36,"Maj-AL","Cleveland,New York,Seattle",403,1734,1472,251,368,208,54,2,104,300,225,8,217,368,20,0,15,36,5,0,0.25,0.354,0.501,0.855
"smoakju01",2017,"Justin Smoak",32,"Maj-AL","Toronto",424,1731,1479,206,359,194,79,1,85,228,235,8,227,390,11,0,6,39,0,1,0.243,0.35,0.47,0.819
"anderti01",2017,"Tim Anderson",26,"Maj-AL","Chicago",422,1730,1652,230,454,306,86,7,55,176,58,2,56,420,10,4,6,40,58,11,0.275,0.302,0.435,0.738
"confomi01",2017,"Michael Conforto",26,"Maj-NL","New York",412,1726,1465,240,377,212,74,3,88,242,225,18,207,421,25,0,11,24,12,3,0.257,0.363,0.492,0.856
"crawfbr01",2017,"Brandon Crawford",32,"Maj-NL","San Francisco",442,1724,1549,179,380,250,86,5,39,190,145,21,124,352,12,0,18,40,10,10,0.245,0.312,0.383,0.694
"seageky01",2017,"Kyle Seager",31,"Maj-AL","Seattle",415,1723,1554,189,367,204,88,3,72,229,140,9,131,334,17,0,12,28,6,5,0.236,0.304,0.436,0.74
"troutmi01",2017,"Mike Trout",27,"Maj-AL","Los Angeles",388,1715,1343,303,407,205,76,9,117,255,326,54,272,334,33,0,12,18,57,4,0.303,0.447,0.634,1.081
"baezja01",2017,"Javier Baez",26,"Maj-NL","Chicago",435,1714,1606,265,453,250,102,15,86,271,87,26,61,467,6,7,8,36,42,17,0.282,0.32,0.525,0.845
"gordode01",2017,"Dee Strange-Gordon",31,"Maj-AL,Maj-NL","Miami,Seattle",415,1704,1602,212,458,377,49,23,9,103,52,1,51,234,20,14,15,25,112,32,0.286,0.314,0.362,0.676
"realmjt01",2017,"J.T. Realmuto",28,"Maj-NL","Miami,Philadelphia",411,1703,1547,234,428,257,97,11,63,222,115,6,109,333,23,0,15,34,20,5,0.277,0.333,0.476,0.809
"longoev01",2017,"Evan Longoria",33,"Maj-AL,Maj-NL","San Francisco,Tampa Bay",410,1697,1546,181,392,248,80,8,56,209,111,7,104,322,18,0,22,43,12,3,0.254,0.307,0.424,0.731
"pujolal01",2017,"Albert Pujols",39,"Maj-AL","Los Angeles",397,1679,1549,158,377,253,59,0,65,258,108,9,99,226,7,0,15,59,7,0,0.243,0.293,0.407,0.7
"simmoan01",2017,"Andrelton Simmons",29,"Maj-AL","Los Angeles",407,1671,1541,192,431,309,83,7,32,184,106,3,103,148,10,1,13,58,39,9,0.28,0.328,0.405,0.732
"villajo01",2017,"Jonathan Villar",28,"Maj-AL,Maj-NL","Baltimore,Milwaukee",424,1665,1511,214,394,273,65,7,49,159,132,1,131,446,9,5,7,25,98,22,0.261,0.323,0.41,0.733
"cabreas01",2017,"Asdrubal Cabrera",33,"Maj-AL,Maj-NL","New York,Philadelphia,Texas,Washington",413,1646,1472,203,393,243,93,2,55,225,148,4,144,305,11,1,14,44,7,2,0.267,0.336,0.445,0.781
"brantmi02",2017,"Michael Brantley",32,"Maj-AL","Cleveland,Houston",381,1643,1483,224,456,307,96,5,48,218,130,6,124,176,14,1,14,44,26,4,0.308,0.366,0.476,0.842
"bradlja02",2017,"Jackie Bradley Jr.",29,"Maj-AL","Boston",424,1643,1450,203,340,199,80,10,51,184,150,10,140,416,32,3,8,20,33,10,0.235,0.318,0.409,0.727
"schoojo01",2017,"Jonathan Schoop",27,"Maj-AL,Maj-NL","Baltimore,Milwaukee,Minnesota",412,1640,1528,214,403,245,80,2,76,225,74,3,71,373,25,1,12,44,3,2,0.264,0.306,0.468,0.774
"grandya01",2017,"Yasmani Grandal",30,"Maj-NL","Los Angeles,Milwaukee",422,1632,1391,194,340,186,76,4,74,203,221,3,218,393,8,1,11,38,7,2,0.244,0.349,0.464,0.813
"albieoz01",2017,"Ozzie Albies",22,"Maj-NL","Atlanta",375,1630,1496,241,418,254,92,18,54,186,111,6,105,264,12,2,9,14,37,8,0.279,0.332,0.473,0.806
"swansda01",2017,"Dansby Swanson",25,"Maj-NL","Atlanta",406,1629,1449,187,348,228,74,9,37,175,154,27,127,366,7,7,12,19,23,10,0.24,0.314,0.38,0.694
"judgeaa01",2017,"Aaron Judge",27,"Maj-AL","New York",369,1623,1333,280,372,198,64,4,106,236,267,18,249,501,12,0,10,36,18,6,0.279,0.401,0.572,0.973
"puigya01",2017,"Yasiel Puig",28,"Maj-AL,Maj-NL","Cincinnati,Cleveland,Los Angeles",425,1623,1457,208,387,232,75,5,75,221,144,11,133,318,11,0,11,49,49,17,0.266,0.334,0.478,0.812
"mazarno01",2017,"Nomar Mazara",24,"Maj-AL","Texas",392,1621,1472,194,381,236,82,4,59,244,123,10,113,351,14,0,12,30,7,3,0.259,0.32,0.44,0.76
"peralda01",2017,"David Peralta",31,"Maj-NL","Arizona",385,1614,1467,205,423,271,85,11,56,201,126,8,118,305,15,0,6,30,12,3,0.288,0.349,0.476,0.825
"chapmma01",2017,"Matt Chapman",26,"Maj-AL","Oakland",384,1612,1420,241,365,179,101,11,74,199,163,0,163,385,22,0,7,32,2,4,0.257,0.341,0.5,0.841
"inciaen01",2017,"Ender Inciarte",28,"Maj-NL","Atlanta",377,1608,1458,206,408,304,65,13,26,142,124,6,118,221,10,7,9,15,57,19,0.28,0.339,0.396,0.734
"schwaky01",2017,"Kyle Schwarber",26,"Maj-NL","Chicago",420,1606,1379,213,323,163,59,7,94,212,207,26,181,446,11,1,8,18,7,7,0.234,0.337,0.492,0.829
"perazjo01",2017,"Jose Peraza",25,"Maj-NL","Cincinnati",436,1605,1496,172,398,305,58,10,25,128,66,5,61,204,24,11,8,28,53,19,0.266,0.306,0.368,0.674
"dejonpa01",2017,"Paul DeJong",25,"Maj-NL","St. Louis",382,1597,1436,220,360,201,82,3,74,211,119,4,115,396,29,0,12,29,11,4,0.251,0.318,0.467,0.785
"mccutan01",2017,"Andrew McCutchen",32,"Maj-AL,Maj-NL","New York,Philadelphia,Pittsburgh,San Francisco",370,1594,1358,222,360,224,72,6,58,182,211,6,205,316,15,0,10,23,27,11,0.265,0.368,0.455,0.823
"tayloch03",2017,"Chris Taylor",28,"Maj-NL","Los Angeles",418,1586,1416,222,380,215,98,17,50,187,142,3,139,435,16,2,10,13,34,9,0.268,0.34,0.468,0.807
"polanjo01",2017,"Jorge Polanco",25,"Maj-AL","Minnesota",362,1581,1421,205,398,256,88,13,41,195,126,3,123,256,8,12,14,23,24,14,0.28,0.339,0.447,0.786
"reddijo01",2017,"Josh Reddick",32,"Maj-AL","Houston",407,1577,1411,197,393,274,66,9,44,185,128,5,123,215,0,3,23,27,19,6,0.279,0.334,0.432,0.765
"hoskirh01",2017,"Rhys Hoskins",26,"Maj-NL","Philadelphia",363,1576,1297,212,310,146,78,5,81,229,240,9,231,368,23,0,13,19,9,3,0.239,0.364,0.494,0.859
"heywaja01",2017,"Jason Heyward",29,"Maj-NL","Chicago",397,1559,1385,204,360,250,58,12,40,178,151,7,144,237,10,4,7,27,13,6,0.26,0.336,0.406,0.741
"frazito01",2017,"Todd Frazier",33,"Maj-AL,Maj-NL","Chicago,New York",393,1547,1329,191,300,175,56,3,66,202,171,4,167,343,34,0,13,29,14,9,0.226,0.326,0.421,0.748
"hamilbi02",2017,"Billy Hamilton",28,"Maj-AL,Maj-NL","Atlanta,Cincinnati,Kansas City",411,1542,1402,200,332,255,47,22,8,82,122,1,121,352,1,9,8,7,115,27,0.237,0.297,0.319,0.616
"martest01",2017,"Starling Marte",30,"Maj-NL","Pittsburgh",354,1531,1407,226,399,266,70,13,50,185,80,3,77,266,32,3,9,31,79,24,0.284,0.334,0.458,0.793
"gonzama01",2017,"Marwin Gonzalez",30,"Maj-AL","Houston,Minnesota",392,1531,1370,180,371,236,78,3,54,213,133,9,124,324,15,8,5,29,11,5,0.271,0.341,0.45,0.791
"grichra01",2017,"Randal Grichuk",27,"Maj-AL,Maj-NL","St. Louis,Toronto",396,1531,1421,188,338,165,86,9,78,200,88,3,85,417,15,0,7,34,11,1,0.238,0.288,0.476,0.764
"beltbr01",2017,"Brandon Belt",31,"Maj-NL","San Francisco",372,1523,1307,189,316,182,77,8,49,154,198,11,187,338,11,0,7,13,11,2,0.242,0.345,0.425,0.77
"turneju01",2017,"Justin Turner",34,"Maj-NL","Los Angeles",368,1518,1301,214,400,250,87,1,62,190,157,9,148,198,45,1,14,33,11,1,0.308,0.397,0.519,0.916
"francma02",2017,"Maikel Franco",26,"Maj-NL","Philadelphia",408,1516,1397,162,340,212,63,2,63,200,106,29,77,218,2,0,11,50,1,0,0.243,0.296,0.427,0.722
"uptonju01",2017,"Justin Upton",31,"Maj-AL","Detroit,Los Angeles",360,1504,1309,214,336,188,70,1,77,234,170,4,166,434,13,0,12,26,23,8,0.257,0.345,0.488,0.833
"molinya01",2017,"Yadier Molina",36,"Maj-NL","St. Louis",372,1498,1379,160,370,250,71,1,48,213,80,4,76,198,18,1,20,43,19,6,0.268,0.313,0.426,0.738
"margoma01",2017,"Manuel Margot",24,"Maj-NL","San Diego",417,1489,1362,162,338,224,63,18,33,127,105,5,100,282,6,5,11,21,48,20,0.248,0.303,0.394,0.696
"kipnija01",2017,"Jason Kipnis",32,"Maj-AL","Cleveland",358,1485,1324,160,312,187,76,2,47,175,128,3,125,271,11,8,14,12,20,5,0.236,0.305,0.403,0.708
"gregodi01",2017,"Didi Gregorius",29,"Maj-AL","New York",352,1483,1362,209,365,226,64,7,68,234,90,5,85,192,11,1,18,20,15,7,0.268,0.315,0.475,0.79
"iglesjo01",2017,"Jose Iglesias",29,"Maj-AL,Maj-NL","Cincinnati,Detroit",399,1483,1399,161,379,265,85,7,22,161,60,3,57,182,12,7,5,34,28,14,0.271,0.306,0.389,0.694
"myerswi01",2017,"Wil Myers",28,"Maj-NL","San Diego",393,1481,1313,177,321,181,76,5,59,166,151,4,147,441,7,1,9,37,49,14,0.245,0.324,0.445,0.768
"garciav01",2017,"Avisail Garcia",28,"Maj-AL","Chicago,Tampa Bay",354,1476,1363,183,393,264,63,9,57,201,84,9,75,338,20,0,9,38,18,6,0.288,0.337,0.473,0.81
"desmoia01",2017,"Ian Desmond",33,"Maj-NL","Colorado",394,1474,1337,193,337,212,63,13,49,193,111,2,109,352,12,4,10,42,38,13,0.252,0.313,0.429,0.742
"stantmi03",2017,"Giancarlo Stanton",29,"Maj-AL,Maj-NL","Miami,New York",335,1469,1273,233,349,179,69,1,100,245,167,18,149,398,15,0,14,31,7,2,0.274,0.362,0.566,0.927
"marteke01",2017,"Ketel Marte",25,"Maj-NL","Arizona",368,1463,1312,195,380,233,73,23,51,169,136,8,128,202,8,1,6,22,19,3,0.29,0.358,0.497,0.855
"shawtr01",2017,"Travis Shaw",29,"Maj-NL","Milwaukee",382,1462,1265,179,303,170,62,1,70,203,174,15,159,334,12,2,9,32,15,2,0.24,0.335,0.456,0.791
"poseybu01",2017,"Buster Posey",32,"Maj-NL","San Francisco",359,1461,1297,152,375,270,80,1,24,146,140,17,123,190,15,1,8,47,9,1,0.289,0.363,0.408,0.771
"arciaor01",2017,"Orlando Arcia",24,"Maj-NL","Milwaukee",423,1460,1348,139,332,247,49,3,33,142,94,14,80,296,3,5,10,34,29,12,0.246,0.295,0.361,0.655
"panikjo01",2017,"Joe Panik",28,"Maj-NL","New York,San Francisco",381,1456,1307,148,345,255,63,8,19,116,115,9,106,131,12,6,16,26,12,2,0.264,0.326,0.368,0.694
"dickeco01",2017,"Corey Dickerson",30,"Maj-AL,Maj-NL","Philadelphia,Pittsburgh,Tampa Bay",363,1440,1351,182,396,235,96,13,52,176,72,14,58,287,7,0,9,29,13,4,0.293,0.33,0.499,0.829
"moncayo01",2017,"Yoan Moncada",24,"Maj-AL","Chicago",335,1440,1288,187,343,206,74,13,50,162,136,3,133,445,8,3,5,5,25,9,0.266,0.339,0.46,0.799
"croncj01",2017,"C.J. Cron",29,"Maj-AL","Los Angeles,Minnesota,Tampa Bay",364,1433,1299,158,327,188,66,2,71,208,88,5,83,349,34,0,10,29,4,4,0.252,0.314,0.47,0.783
"deverra01",2017,"Rafael Devers",22,"Maj-AL","Boston",335,1432,1319,222,372,213,92,4,63,211,104,16,88,297,4,1,4,22,16,8,0.282,0.335,0.501,0.837
"alonsyo01",2017,"Yonder Alonso",32,"Maj-AL,Maj-NL","Chicago,Cleveland,Colorado,Oakland,Seattle",404,1429,1258,170,307,192,54,0,61,187,158,10,148,310,6,0,7,32,2,1,0.244,0.33,0.432,0.762
"kinslia01",2017,"Ian Kinsler",37,"Maj-AL,Maj-NL","Boston,Detroit,Los Angeles,San Diego",354,1428,1296,184,303,192,63,3,45,122,114,2,112,204,14,0,4,29,32,13,0.234,0.302,0.391,0.693
"olsonma02",2017,"Matt Olson",25,"Maj-AL","Oakland",347,1423,1252,191,321,171,61,0,89,220,143,11,132,361,25,0,3,30,2,1,0.256,0.344,0.518,0.862
"murphda08",2017,"Daniel Murphy",34,"Maj-NL","Chicago,Colorado,Washington",367,1422,1300,190,392,247,93,4,48,213,104,17,87,191,6,0,10,31,6,0,0.302,0.354,0.49,0.844
"canoro01",2017,"Robinson Cano",36,"Maj-AL,Maj-NL","New York,Seattle",336,1418,1291,169,360,231,83,0,46,186,106,13,93,200,13,0,8,43,1,0,0.279,0.338,0.45,0.788
"rosaram01",2017,"Amed Rosario",23,"Maj-NL","New York",356,1417,1335,167,360,253,60,19,28,133,63,6,57,292,8,5,6,25,50,24,0.27,0.305,0.406,0.711
"renfrhu01",2017,"Hunter Renfroe",27,"Maj-NL","San Diego",378,1414,1288,168,298,143,67,3,85,190,103,4,99,403,11,0,12,19,10,1,0.231,0.291,0.486,0.777
"fraziad01",2017,"Adam Frazier",27,"Maj-NL","Pittsburgh",386,1414,1278,187,354,237,76,15,26,138,105,8,97,185,20,6,5,18,15,12,0.277,0.34,0.421,0.761
"gallojo01",2017,"Joey Gallo",25,"Maj-AL","Texas",362,1406,1190,221,258,93,57,5,103,221,201,9,192,517,13,1,1,6,14,5,0.217,0.336,0.533,0.869
"grossro01",2017,"Robbie Grossman",29,"Maj-AL","Minnesota,Oakland",385,1403,1198,169,303,208,70,5,20,131,186,2,184,248,6,4,9,15,12,6,0.253,0.354,0.37,0.724
"piscost01",2017,"Stephen Piscotty",28,"Maj-AL,Maj-NL","Oakland,St. Louis",350,1399,1244,164,315,190,74,2,49,171,123,2,121,285,20,1,11,45,7,4,0.253,0.328,0.434,0.762
"fowlede01",2017,"Dexter Fowler",33,"Maj-NL","St. Louis",358,1399,1196,177,279,168,56,10,45,162,175,7,168,318,15,1,12,18,20,8,0.233,0.336,0.41,0.745
"davisch02",2017,"Chris Davis",33,"Maj-AL","Baltimore",359,1398,1233,131,232,141,36,1,54,146,141,7,134,526,13,0,11,18,3,1,0.188,0.276,0.35,0.627
"smithma05",2017,"Mallex Smith",26,"Maj-AL","Seattle,Tampa Bay",356,1392,1246,168,327,240,54,23,10,89,112,0,112,301,19,11,4,20,102,25,0.262,0.332,0.367,0.698
"contrwi01",2017,"Willson Contreras",27,"Maj-NL","Chicago",360,1381,1211,157,320,192,66,7,55,192,136,6,130,321,25,3,6,31,10,6,0.264,0.349,0.467,0.816
"braunry02",2017,"Ryan Braun",35,"Maj-NL","Milwaukee",373,1380,1244,187,336,188,84,5,59,191,106,8,98,266,13,0,10,38,34,8,0.27,0.331,0.488,0.819
"hanigmi01",2017,"Mitch Haniger",28,"Maj-AL","Seattle",316,1376,1211,194,328,188,76,7,57,172,131,5,126,322,24,1,9,20,17,3,0.271,0.351,0.486,0.838
"donaljo02",2017,"Josh Donaldson",33,"Maj-AL,Maj-NL","Atlanta,Cleveland,Toronto",320,1374,1151,191,300,154,68,0,78,195,207,5,202,320,11,0,5,21,8,2,0.261,0.377,0.523,0.9
"morelmi01",2017,"Mitch Moreland",33,"Maj-AL","Boston",363,1370,1210,178,299,164,74,5,56,205,141,8,133,296,7,0,12,38,3,1,0.247,0.326,0.455,0.782
