"Name","POS","AGE","YRS","DOLLARS","YEAR","G","R","HR","RBI","BB","SB","HITS","AS"
"Corey Dickerson","OF","30","2","17500000","2019","363","182","52","176","72","13","396","1"
"Matt Joyce","OF","35","2","17500000","2019","346","144","39","106","139","4","216","0"
"Neil Walker","1B","31","1","17200000","2016","400","200","62","202","131","9","401","0"
"Russell Martin","C","29","2","17000000","2012","350","152","44","144","151","20","270","1"
"Kendrys Morales","1B","30","2","17000000","2014","388","153","53","195","107","0","379","0"
"Todd Frazier","3B","32","2","17000000","2017","460","245","102","263","191","32","392","1"
"Adam LaRoche","1B","30","2","16000000","2010","437","219","75","268","171","3","433","0"
"Melky Cabrera","OF","27","2","16000000","2012","410","236","33","189","113","40","477","1"
"Marlon Byrd","OF","35","2","16000000","2013","305","136","34","132","61","5","308","0"
"Carlos Beltran","OF","39","1","16000000","2016","393","176","63","209","117","4","389","1"
"Yonder Alonso","1B","30","2","16000000","2017","392","174","40","154","155","7","342","1"
"Kole Calhoun","OF","32","2","16000000","2019","444","240","71","202","194","15","369","0"
"Travis d'Arnaud","C","31","2","16000000","2019","218","92","33","129","56","0","176","0"
"Colby Rasmus","OF","29","1","15800000","2015","351","169","65","167","113","6","296","0"
"Matt Wieters","C","29","1","15800000","2015","249","96","35","122","70","2","224","1"
"Jason Kubel","OF","28","2","15000000","2011","387","178","61","253","144","2","383","0"
"Ryan Ludwick","OF","33","2","15000000","2012","399","172","56","225","141","1","355","0"
"Juan Uribe","3B","33","2","15000000","2013","272","83","18","95","60","7","194","0"
"Luis Valbuena","3B","31","2","15000000","2016","368","168","54","147","159","3","292","0"
"Welington Castillo","C","30","2","15000000","2017","317","127","53","178","80","2","287","0"
"Nelson Cruz","OF","38","1","14300000","2018","454","257","119","321","187","4","462","2"
"Coco Crisp","OF","31","2","14000000","2011","259","150","19","106","100","94","262","0"
"Rafael Furcal","2B","33","2","14000000","2011","334","202","25","118","129","43","357","1"
"Didi Gregorius","SS","30","1","14000000","2019","352","209","68","234","90","15","365","0"
"Ichiro Suzuki","OF","38","2","13000000","2012","482","231","20","145","106","111","576","1"
"Dexter Fowler","OF","29","1","13000000","2015","391","234","37","123","215","50","378","0"
"Chris Young","OF","32","2","13000000","2015","334","139","37","120","98","21","219","0"
"Matt Holliday","OF","37","1","13000000","2016","338","155","44","187","148","6","314","1"
"Mitch Moreland","1B","32","2","13000000","2017","420","173","67","224","124","2","363","0"
"Justin Morneau","1B","31","2","12500000","2013","355","144","40","184","118","1","343","0"
"Steve Pearce","1B","33","2","12500000","2016","276","128","49","124","97","6","239","0"
"Wilson Ramos","C","29","2","12500000","2016","346","131","48","195","73","0","348","1"
"Brett Gardner","OF","36","1","12500000","2019","432","277","61","182","189","49","405","0"
"Jeff Keppinger","2B","31","3","12000000","2012","350","147","21","134","87","5","378","0"
"Kevin Youkilis","3B","32","1","12000000","2012","342","217","55","202","177","7","325","1"
"David Murphy","OF","31","2","12000000","2013","401","162","39","152","124","22","346","0"
"Brandon Moss","OF","33","2","12000000","2016","418","183","72","206","155","2","316","1"
"Starlin Castro","3B","29","2","12000000","2019","427","210","50","203","99","10","470","1"
"Edwin Encarnacion","1B","37","1","12000000","2019","403","251","104","300","225","5","368","0"
"Orlando Hudson","3B","32","2","11500000","2010","381","208","23","140","152","22","413","1"
"Carlos Gomez","OF","31","1","11500000","2016","380","201","48","182","112","69","369","1"
"Jhonny Peralta","3B","27","2","11250000","2010","452","221","49","253","152","4","452","0"
"Aaron Hill","2B","28","2","11000000","2011","433","234","70","237","118","29","431","1"
"Lance Berkman","1B","36","1","11000000","2012","298","150","47","159","183","7","268","1"
"Alex Rios","OF","33","1","11000000","2014","443","230","47","226","90","82","493","0"
"Matt Joyce","OF","32","2","11000000","2016","366","113","27","115","151","3","205","0"
"Sean Rodriguez","3B","31","2","11000000","2016","337","104","34","114","48","6","186","0"
"Nate McLouth","OF","31","2","10750000","2013","310","150","23","72","124","46","262","0"
"Clint Barmes","SS","31","2","10500000","2011","399","159","43","165","104","18","335","0"
"Torii Hunter","OF","38","1","10500000","2014","422","242","50","259","87","16","508","1"
"Magglio Ordonez","OF","36","1","10000000","2010","361","182","42","212","144","5","420","0"
"Carlos Pena","1B","31","1","10000000","2010","413","231","98","286","270","9","323","1"
"David DeJesus","OF","31","2","10000000","2011","363","180","28","154","130","11","375","0"
"Jonny Gomes","OF","31","2","10000000","2012","366","164","50","176","131","15","274","0"
"Maicer Izturis","2B","31","3","10000000","2012","281","113","10","85","79","33","251","0"
"Rajai Davis","OF","32","2","10000000","2013","333","157","15","96","65","125","277","0"
"Mike Moustakas","1B","30","1","10000000","2018","327","153","73","193","92","4","320","1"
"Kurt Suzuki","C","35","2","10000000","2018","291","117","39","149","57","0","261","0"
"Stephen Drew","SS","28","1","9500000","2012","315","165","27","134","129","15","302","0"
"Michael Saunders","OF","30","1","9000000","2016","223","110","32","94","90","5","193","1"
"Brian Dozier","2B","31","1","9000000","2018","458","291","97","264","209","46","451","0"
"Mark Ellis","2B","33","2","8750000","2011","357","152","22","151","85","31","345","0"
"Mike Napoli","1B","35","1","8500000","2016","398","187","69","206","213","11","327","0"
"Chris Iannetta","C","34","2","8500000","2017","268","89","34","101","116","0","182","0"
"A.J. Pierzynski","C","36","1","8250000","2013","397","154","52","195","62","1","403","0"
"Alex Avila","C","31","2","8250000","2017","227","81","25","73","140","0","152","0"
"Lance Berkman","1B","34","1","8000000","2010","416","235","68","244","273","28","399","1"
"Vladimir Guerrero","OF","35","1","8000000","2010","395","227","71","256","105","11","455","1"
"A.J. Pierzynski","C","33","2","8000000","2010","398","166","35","165","58","5","429","0"
"Ty Wigginton","3B","32","2","8000000","2010","385","157","56","175","105","5","366","1"
"Nelson Cruz","OF","32","1","8000000","2013","392","199","80","253","116","22","387","1"
"Dioner Navarro","C","29","2","8000000","2013","174","50","20","63","45","0","126","0"
"Michael Morse","1B","31","2","8000000","2014","320","135","47","150","68","0","307","0"
"Colby Rasmus","OF","27","1","8000000","2014","369","177","63","181","113","8","319","0"
"Ian Desmond","OF","30","1","8000000","2015","468","219","63","233","134","58","455","0"
"John Jaso","1B","32","2","8000000","2015","239","96","17","83","94","5","190","0"
"Jon Jay","OF","31","1","8000000","2016","306","126","6","82","66","8","270","0"
"Carlos Gonzalez","OF","32","1","8000000","2017","435","246","79","254","148","7","447","1"
"Ian Kinsler","2B","36","2","8000000","2018","420","273","64","183","140","44","425","0"
"Garrett Jones","OF","31","2","7750000","2013","432","160","58","195","112","10","327","0"
"Derrek Lee","1B","34","1","7500000","2010","444","264","74","281","220","10","486","0"
"A.J. Pierzynski","C","35","1","7500000","2012","391","149","44","181","66","3","394","0"
